,Unnamed: 0,Company,Competitors,Founded,Headquarters,Industry,Now known as,Part of,Revenue,Size,Type,Area
152,152,Northwestern Mutual,, 1857,"Milwaukee, WI",Brokerage Services,,, $10+ billion (USD) per year,5001 to 10000 employees, Company - Private,Goods & Svcs
153,153,AXA Advisors, Unknown, 1859,"New York, NY",Investment Banking & Asset Management,,AXA, $100 to $500 million (USD) per year,1001 to 5000 employees, Subsidiary or Business Segment,Finance
154,154,Bristol-Myers Squibb,, 1858,"New York, NY",Biotech & Pharmaceuticals,,, $10+ billion (USD) per year,10000+ employees, Company - Public (BMY) ,Health
155,155,Healthfirst (New York),, 1993,"New York, NY",Insurance Carriers,,, Unknown / Non-Applicable,1001 to 5000 employees, Nonprofit Organization,Finance
156,156,Dunkin' Donuts, Unknown, 1950,"Canton, MA",Fast-Food & Quick-Service Restaurants,,, Unknown / Non-Applicable per year,5001 to 10000 employees, Company - Private,Goods & Svcs
157,157,Digitas," 360i, AKQA, R/GA", 1980,"Boston, MA",Advertising & Marketing,,Publicis, Unknown / Non-Applicable,5001 to 10000 employees, Subsidiary or Business Segment,Finance
158,158,Wipro,, 1945,Bengaluru (India),IT Services,,, $5 to $10 billion (USD) per year,10000+ employees, Company - Public (WIT) ,Technology
159,159,Banana Republic,, 1983,"San Francisco, CA","Department, Clothing, & Shoe Stores",,Gap Inc., $500 million to $1 billion (USD) per year,5001 to 10000 employees, Subsidiary or Business Segment,Fashion/Retail
160,160,Urban Outfitters, Unknown, 1970,"Philadelphia, PA","Department, Clothing, & Shoe Stores",,, $2 to $5 billion (USD) per year,10000+ employees, Company - Public (URBN) ,Fashion/Retail
161,161,CBS, Unknown, 2000,"New York, NY",Motion Picture Production & Distribution,,, $2 to $5 billion (USD) per year,5001 to 10000 employees, Subsidiary or Business Segment,Entertainment
162,162,DISH,, 1980,"Englewood, CO","Cable, Internet & Telephone Providers",,, $10+ billion (USD) per year,10000+ employees, Company - Public (DISH) ,Technology
163,163,The Children's Place, Unknown, 1989,"Secaucus, NJ","Department, Clothing, & Shoe Stores",,, $1 to $2 billion (USD) per year,10000+ employees, Company - Public (PLCE) ,Fashion/Retail
164,164,GEICO,, 1936,"Washington, DC",Insurance Carriers,,, $10+ billion (USD) per year,10000+ employees, Subsidiary or Business Segment,Finance
165,165,UnitedHealth Group,, 1977,"Minnetonka, MN",Health Care Services & Hospitals,,, $10+ billion (USD) per year,10000+ employees, Company - Public (UNH) ,Health
166,166,Horizon Blue Cross Blue Shield of New Jersey,, 1932,"Newark, NJ",Insurance Carriers,,, $10+ billion (USD) per year,5001 to 10000 employees, Nonprofit Organization,Finance
167,167,Visiting Nurse Service of New York,, 1893,"New York, NY",Health Care Services & Hospitals,,, $500 million to $1 billion (USD) per year,10000+ employees, Nonprofit Organization,Health
168,168,Sanofi,, 1973,Paris (France),Biotech & Pharmaceuticals,,, $10+ billion (USD) per year,10000+ employees, Company - Public (SNY) ,Health
169,169,Altice, Unknown, Unknown,Amsterdam (Netherlands),Telecommunications Services,,, Unknown / Non-Applicable per year,10000+ employees, Company - Public (ATC) ,Technology
170,170,Madison Square Garden, Unknown, Unknown,"New York, NY",Sports & Recreation,,, $1 to $2 billion (USD) per year,5001 to 10000 employees, Company - Public (MSG) ,Entertainment
171,171,Insight Global," TEKsystems, Apex Systems, Kelly Services", 2001,"Atlanta, GA",Staffing & Outsourcing,,, $1 to $2 billion (USD) per year,1001 to 5000 employees, Company - Private,Goods & Svcs
172,172,New York City Department of Parks and Recreation, Unknown, 1934,"New York, NY",Municipal Governments,,, Unknown / Non-Applicable,5001 to 10000 employees, Government,Govnt/Utilities
173,173,BD,, 1897,"Franklin Lakes, NJ",Health Care Products Manufacturing,,, $10+ billion (USD) per year,10000+ employees, Company - Public (BDX) ,Health
174,174,Sony Music Entertainment, Unknown, 1986,"New York, NY",Music Production & Distribution,,, $2 to $5 billion (USD) per year,5001 to 10000 employees, Subsidiary or Business Segment,Entertainment
175,175,Canon U.S.A., Unknown, Unknown,"Melville, NY",Computer Hardware & Software,,, $500 million to $1 billion (USD) per year,10000+ employees, Subsidiary or Business Segment,Technology
176,176,Delta Air Lines,, 1928,"Atlanta, GA",Airlines,,, $10+ billion (USD) per year,10000+ employees, Company - Public (DAL) ,Goods & Svcs
177,177,Power Home Remodeling,, 1992,"Chester, PA",Construction,,, $500 million to $1 billion (USD) per year,1001 to 5000 employees, Company - Private,Goods & Svcs
178,178,Oracle,, 1977,"Redwood City, CA",Enterprise Software & Network Solutions,,, $10+ billion (USD) per year,10000+ employees, Company - Public (ORCL) ,Technology
179,179,J. C. Penney," Macy's, Kohl's, Dillard's", 1902,"Plano, TX","Department, Clothing, & Shoe Stores",,, $10+ billion (USD) per year,10000+ employees, Company - Public (JCP) ,Fashion/Retail
180,180,Chubb,, 1792,Zürich (Switzerland),Insurance Carriers,,, $10+ billion (USD) per year,10000+ employees, Company - Public (CB) ,Finance
181,181,Microsoft," Google, Amazon, Apple", 1975,"Redmond, WA",Computer Hardware & Software,,, $10+ billion (USD) per year,10000+ employees, Company - Public (MSFT) ,Technology
182,182,Regeneron Pharmaceuticals,, 1988,"Tarrytown, NY",Biotech & Pharmaceuticals,,, $5 to $10 billion (USD) per year,5001 to 10000 employees, Company - Public (REGN) ,Health
183,183,R/GA, Unknown, 1977,"New York, NY",Advertising & Marketing,,, $100 to $500 million (USD) per year,1001 to 5000 employees, Company - Public,Finance
184,184,Audible,, 1995,"Newark, NJ",Motion Picture Production & Distribution,,Amazon, Unknown / Non-Applicable,1001 to 5000 employees, Subsidiary or Business Segment,Entertainment
