,Company,Competitors,Founded,Headquarters,Industry,Now known as,Part of,Revenue,Size,Type,Website,Link
150,Uber,, 2009,"San Francisco, CA", Computer Hardware & Software,,, Unknown / Non-Applicable,10000+ employees, Company - Public (UBER) ,www.uber.com,"https://www.glassdoor.com/Overview/Working-at-Uber-EI_IE575263.11,15.htm"
151,National Debt Relief,, 2009,"New York, NY", Lending,,, Unknown / Non-Applicable,1001 to 5000 employees, Company - Private,www.nationaldebtrelief.com,"https://www.glassdoor.com/Overview/Working-at-National-Debt-Relief-EI_IE707737.11,31.htm"
152,Northwestern Mutual,, 1857,"Milwaukee, WI", Brokerage Services,,, $10+ billion (USD) per year,5001 to 10000 employees, Company - Private,www.northwesternmutual.com,"https://www.glassdoor.com/Overview/Working-at-Northwestern-Mutual-EI_IE2919.11,30.htm"
153,AXA Advisors, Unknown, 1859,"New York, NY", Investment Banking & Asset Management,,AXA, $100 to $500 million (USD) per year,1001 to 5000 employees, Subsidiary or Business Segment,www.axa-equitable.com/axa/careers/axa-advisors.html,"https://www.glassdoor.com/Overview/Working-at-AXA-Advisors-EI_IE27624.11,23.htm"
154,Bristol-Myers Squibb,, 1858,"New York, NY", Biotech & Pharmaceuticals,,, $10+ billion (USD) per year,10000+ employees, Company - Public (BMY) ,www.bms.com,"https://www.glassdoor.com/Overview/Working-at-Bristol-Myers-Squibb-EI_IE107.11,31.htm"
155,Healthfirst (New York),, 1993,"New York, NY", Insurance Carriers,,, Unknown / Non-Applicable,1001 to 5000 employees, Nonprofit Organization,www.healthfirst.org,"https://www.glassdoor.com/Overview/Working-at-Healthfirst-New-York-EI_IE19100.11,31.htm"
156,Dunkin' Donuts, Unknown, 1950,"Canton, MA", Fast-Food & Quick-Service Restaurants,,, Unknown / Non-Applicable per year,5001 to 10000 employees, Company - Private,www.dunkindonuts.com,"https://www.glassdoor.com/Overview/Working-at-Dunkin-Donuts-EI_IE19153.11,24.htm"
157,Digitas," 360i, AKQA, R/GA", 1980,"Boston, MA", Advertising & Marketing,,Publicis, Unknown / Non-Applicable,5001 to 10000 employees, Subsidiary or Business Segment,www.digitas.com,"https://www.glassdoor.com/Overview/Working-at-Digitas-EI_IE760746.11,18.htm"
158,Wipro,, 1945,Bengaluru (India), IT Services,,, $5 to $10 billion (USD) per year,10000+ employees, Company - Public (WIT) ,www.wipro.com,"https://www.glassdoor.com/Overview/Working-at-Wipro-EI_IE9936.11,16.htm"
159,Banana Republic,, 1983,"San Francisco, CA"," Department, Clothing, & Shoe Stores",,Gap Inc., $500 million to $1 billion (USD) per year,5001 to 10000 employees, Subsidiary or Business Segment,www.bananarepublic.com,"https://www.glassdoor.com/Overview/Working-at-Banana-Republic-EI_IE23057.11,26.htm"
160,Urban Outfitters, Unknown, 1970,"Philadelphia, PA"," Department, Clothing, & Shoe Stores",,, $2 to $5 billion (USD) per year,10000+ employees, Company - Public (URBN) ,www.urbanoutfitters.com,"https://www.glassdoor.com/Overview/Working-at-Urban-Outfitters-EI_IE2372.11,27.htm"
161,CBS, Unknown, 2000,"New York, NY", Motion Picture Production & Distribution,,, $2 to $5 billion (USD) per year,5001 to 10000 employees, Subsidiary or Business Segment,www.cbs.com,"https://www.glassdoor.com/Overview/Working-at-CBS-EI_IE117.11,14.htm"
162,DISH,, 1980,"Englewood, CO"," Cable, Internet & Telephone Providers",,, $10+ billion (USD) per year,10000+ employees, Company - Public (DISH) ,careers.dish.com,"https://www.glassdoor.com/Overview/Working-at-DISH-EI_IE4501.11,15.htm"
163,The Children's Place, Unknown, 1989,"Secaucus, NJ"," Department, Clothing, & Shoe Stores",,, $1 to $2 billion (USD) per year,10000+ employees, Company - Public (PLCE) ,www.childrensplace.com,"https://www.glassdoor.com/Overview/Working-at-The-Children-s-Place-EI_IE7028.11,31.htm"
164,GEICO,, 1936,"Washington, DC", Insurance Carriers,,, $10+ billion (USD) per year,10000+ employees, Subsidiary or Business Segment,www.geico.careers,"https://www.glassdoor.com/Overview/Working-at-GEICO-EI_IE270.11,16.htm"
165,UnitedHealth Group,, 1977,"Minnetonka, MN", Health Care Services & Hospitals,,, $10+ billion (USD) per year,10000+ employees, Company - Public (UNH) ,www.unitedhealthgroup.com,"https://www.glassdoor.com/Overview/Working-at-UnitedHealth-Group-EI_IE1991.11,29.htm"
166,Horizon Blue Cross Blue Shield of New Jersey,, 1932,"Newark, NJ", Insurance Carriers,,, $10+ billion (USD) per year,5001 to 10000 employees, Nonprofit Organization,www.horizonblue.com,"https://www.glassdoor.com/Overview/Working-at-Horizon-Blue-Cross-Blue-Shield-of-New-Jersey-EI_IE299267.11,55.htm"
167,Visiting Nurse Service of New York,, 1893,"New York, NY", Health Care Services & Hospitals,,, $500 million to $1 billion (USD) per year,10000+ employees, Nonprofit Organization,www.vnsny.org,"https://www.glassdoor.com/Overview/Working-at-Visiting-Nurse-Service-of-New-York-EI_IE19812.11,45.htm"
168,Sanofi,, 1973,Paris (France), Biotech & Pharmaceuticals,,, $10+ billion (USD) per year,10000+ employees, Company - Public (SNY) ,sanofi.us,"https://www.glassdoor.com/Overview/Working-at-Sanofi-EI_IE9347.11,17.htm"
169,Altice, Unknown, Unknown,Amsterdam (Netherlands), Telecommunications Services,,, Unknown / Non-Applicable per year,10000+ employees, Company - Public (ATC) ,www.altice.net,"https://www.glassdoor.com/Overview/Working-at-Altice-EI_IE1315515.11,17.htm"
170,Madison Square Garden, Unknown, Unknown,"New York, NY", Sports & Recreation,,, $1 to $2 billion (USD) per year,5001 to 10000 employees, Company - Public (MSG) ,www.themadisonsquaregardencompany.com,"https://www.glassdoor.com/Overview/Working-at-Madison-Square-Garden-EI_IE16146.11,32.htm"
171,Insight Global," TEKsystems, Apex Systems, Kelly Services", 2001,"Atlanta, GA", Staffing & Outsourcing,,, $1 to $2 billion (USD) per year,1001 to 5000 employees, Company - Private,www.insightglobal.com,"https://www.glassdoor.com/Overview/Working-at-Insight-Global-EI_IE152783.11,25.htm"
172,New York City Department of Parks and Recreation, Unknown, 1934,"New York, NY", Municipal Governments,,, Unknown / Non-Applicable,5001 to 10000 employees, Government,www.nycgovparks.org,"https://www.glassdoor.com/Overview/Working-at-New-York-City-Department-of-Parks-and-Recreation-EI_IE107681.11,59.htm"
173,BD,, 1897,"Franklin Lakes, NJ", Health Care Products Manufacturing,,, $10+ billion (USD) per year,10000+ employees, Company - Public (BDX) ,www.bd.com,"https://www.glassdoor.com/Overview/Working-at-BD-EI_IE88.11,13.htm"
174,Sony Music Entertainment, Unknown, 1986,"New York, NY", Music Production & Distribution,,, $2 to $5 billion (USD) per year,5001 to 10000 employees, Subsidiary or Business Segment,www.sonymusic.com,"https://www.glassdoor.com/Overview/Working-at-Sony-Music-Entertainment-EI_IE37127.11,35.htm"
175,Canon U.S.A., Unknown, Unknown,"Melville, NY", Computer Hardware & Software,,, $500 million to $1 billion (USD) per year,10000+ employees, Subsidiary or Business Segment,www.usa.canon.com,"https://www.glassdoor.com/Overview/Working-at-Canon-U-S-A-EI_IE4149.11,22.htm"
176,Delta Air Lines,, 1928,"Atlanta, GA", Airlines,,, $10+ billion (USD) per year,10000+ employees, Company - Public (DAL) ,www.deltajobs.net/career_destinations.htm,"https://www.glassdoor.com/Overview/Working-at-Delta-Air-Lines-EI_IE197.11,26.htm"
177,Power Home Remodeling,, 1992,"Chester, PA", Construction,,, $500 million to $1 billion (USD) per year,1001 to 5000 employees, Company - Private,www.powerhrg.com,"https://www.glassdoor.com/Overview/Working-at-Power-Home-Remodeling-EI_IE405781.11,32.htm"
178,Oracle,, 1977,"Redwood City, CA", Enterprise Software & Network Solutions,,, $10+ billion (USD) per year,10000+ employees, Company - Public (ORCL) ,www.oracle.com,"https://www.glassdoor.com/Overview/Working-at-Oracle-EI_IE1737.11,17.htm"
179,J. C. Penney," Macy's, Kohl's, Dillard's", 1902,"Plano, TX"," Department, Clothing, & Shoe Stores",,, $10+ billion (USD) per year,10000+ employees, Company - Public (JCP) ,www.jcpenney.com,"https://www.glassdoor.com/Overview/Working-at-J-C-Penney-EI_IE361.11,21.htm"
180,Chubb,, 1792,Zürich (Switzerland), Insurance Carriers,,, $10+ billion (USD) per year,10000+ employees, Company - Public (CB) ,www.chubb.com,"https://www.glassdoor.com/Overview/Working-at-Chubb-EI_IE150.11,16.htm"
181,Microsoft," Google, Amazon, Apple", 1975,"Redmond, WA", Computer Hardware & Software,,, $10+ billion (USD) per year,10000+ employees, Company - Public (MSFT) ,www.microsoft.com,"https://www.glassdoor.com/Overview/Working-at-Microsoft-EI_IE1651.11,20.htm"
182,Regeneron Pharmaceuticals,, 1988,"Tarrytown, NY", Biotech & Pharmaceuticals,,, $5 to $10 billion (USD) per year,5001 to 10000 employees, Company - Public (REGN) ,www.regeneron.com,"https://www.glassdoor.com/Overview/Working-at-Regeneron-Pharmaceuticals-EI_IE981.11,36.htm"
183,R/GA, Unknown, 1977,"New York, NY", Advertising & Marketing,,, $100 to $500 million (USD) per year,1001 to 5000 employees, Company - Public,www.rga.com,"https://www.glassdoor.com/Overview/Working-at-R-GA-EI_IE23929.11,15.htm"
184,Audible,, 1995,"Newark, NJ", Motion Picture Production & Distribution,,Amazon, Unknown / Non-Applicable,1001 to 5000 employees, Subsidiary or Business Segment,www.audible.com/about,"https://www.glassdoor.com/Overview/Working-at-Audible-EI_IE9266.11,18.htm"
185,AOL," Yahoo, Google, Facebook", 1985,"New York, NY", Publishing,,Verizon, $2 to $5 billion (USD) per year,5001 to 10000 employees, Company - Public,www.aol-careers.com,"https://www.glassdoor.com/Overview/Working-at-AOL-EI_IE2151.11,14.htm"
186,RBC," Barclays, Morgan Stanley, TD", 1869,"Toronto, ON (Canada)", Banks & Credit Unions,,, $10+ billion (USD) per year,10000+ employees, Company - Public (RY) ,www.rbc.com,"https://www.glassdoor.com/Overview/Working-at-RBC-EI_IE3358.11,14.htm"
187,Capri Holdings," Ralph Lauren, Coach, Burberry", 1981,"New York, NY", Other Retail Stores,,, $2 to $5 billion (USD) per year,5001 to 10000 employees, Company - Public (CPRI) ,www.capriholdings.com,"https://www.glassdoor.com/Overview/Working-at-Capri-Holdings-EI_IE20439.11,25.htm"
188,Zocdoc, Unknown, 2007,"New York, NY", Internet,,, Unknown / Non-Applicable,501 to 1000 employees, Company - Private,www.zocdoc.com,"https://www.glassdoor.com/Overview/Working-at-Zocdoc-EI_IE250247.11,17.htm"
189,Panera Bread, Unknown, 1981,"Saint Louis, MO", Casual Restaurants,,, $2 to $5 billion (USD) per year,10000+ employees, Company - Public (PNRA) ,www.panerabread.com,"https://www.glassdoor.com/Overview/Working-at-Panera-Bread-EI_IE1493.11,23.htm"
190,AMC Entertainment, Unknown, 1920,"Leawood, KS", Movie Theaters,,, $2 to $5 billion (USD) per year,10000+ employees, Company - Public (AMC) ,www.amctheatres.com,"https://www.glassdoor.com/Overview/Working-at-AMC-Entertainment-EI_IE758.11,28.htm"
191,Grey Group," Interpublic Group, Omnicom, Publicis", 1917,"New York, NY", Advertising & Marketing,,WPP, $500 million to $1 billion (USD) per year,5001 to 10000 employees, Subsidiary or Business Segment,www.grey.com,"https://www.glassdoor.com/Overview/Working-at-Grey-Group-EI_IE1459.11,21.htm"
192,Capgemini,, 1967,Issy-les-Moulineaux (France), Enterprise Software & Network Solutions,,, $10+ billion (USD) per year,10000+ employees, Company - Public,www.capgemini.com,"https://www.glassdoor.com/Overview/Working-at-Capgemini-EI_IE3803.11,20.htm"
193,TIAA,, 1918,"New York, NY", Investment Banking & Asset Management,,, $100 to $500 million (USD) per year,5001 to 10000 employees, Company - Private,www.tiaa.org,"https://www.glassdoor.com/Overview/Working-at-TIAA-EI_IE2998.11,15.htm"
194,Panasonic,, 1918,"Newark, NJ", Electrical & Electronic Manufacturing,,, $10+ billion (USD) per year,10000+ employees, Subsidiary or Business Segment,www.panasonic.com,"https://www.glassdoor.com/Overview/Working-at-Panasonic-EI_IE4279.11,20.htm"
195,GameStop, Unknown, 2000,"Grapevine, TX", Toy & Hobby Stores,,, $5 to $10 billion (USD) per year,10000+ employees, Company - Public (GME) ,www.gamestop.com,"https://www.glassdoor.com/Overview/Working-at-GameStop-EI_IE1162.11,19.htm"
196,Capco,, 1998,"London, England (UK)", Consulting,,, $500 million to $1 billion (USD) per year,5001 to 10000 employees, Company - Public,www.capco.com,"https://www.glassdoor.com/Overview/Working-at-Capco-EI_IE400565.11,16.htm"
197,Samsung Electronics America,, 1938,"Ridgefield Park, Bergen, NJ", Computer Hardware & Software,,Samsung Electronics, $10+ billion (USD) per year,1001 to 5000 employees, Subsidiary or Business Segment,www.samsung.com,"https://www.glassdoor.com/Overview/Working-at-Samsung-Electronics-America-EI_IE4206.11,38.htm"
198,Dow Jones,, 1882,"Monmouth Junction, NJ", News Outlet,,, $500 million to $1 billion (USD) per year,5001 to 10000 employees, Subsidiary or Business Segment,www.dowjones.com,"https://www.glassdoor.com/Overview/Working-at-Dow-Jones-EI_IE208.11,20.htm"
199,Modell's Sporting Goods," DICK'S Sporting Goods, Foot Locker, Finish Line", 1889,"New York, NY", Sporting Goods Stores,,, $500 million to $1 billion (USD) per year,5001 to 10000 employees, Company - Private,www.modells.com,"https://www.glassdoor.com/Overview/Working-at-Modell-s-Sporting-Goods-EI_IE4382.11,34.htm"
200,Stevens Institute of Technology, Unknown, 1870,"Hoboken, NJ", Colleges & Universities,,, $100 to $500 million (USD) per year,501 to 1000 employees, College / University,www.stevens.edu,"https://www.glassdoor.com/Overview/Working-at-Stevens-Institute-of-Technology-EI_IE24409.11,42.htm"
201,Nomura Holdings, Unknown, 1925,Tokyo (Japan), Investment Banking & Asset Management,,, $10+ billion (USD) per year,10000+ employees, Company - Public (NMR) ,www.nomura.com,"https://www.glassdoor.com/Overview/Working-at-Nomura-Holdings-EI_IE3475.11,26.htm"
202,Benjamin Moore, Unknown, 1883,"Montvale, NJ", Consumer Products Manufacturing,,Berkshire Hathaway, $1 to $2 billion (USD) per year,1001 to 5000 employees, Company - Private,www.benjaminmoore.com,"https://www.glassdoor.com/Overview/Working-at-Benjamin-Moore-EI_IE3089.11,25.htm"
203,PSEG,, 1903,"Newark, NJ", Utilities,,, $5 to $10 billion (USD) per year,10000+ employees, Company - Public (PEG) ,www.pseg.com,"https://www.glassdoor.com/Overview/Working-at-PSEG-EI_IE16719.11,15.htm"
204,Major League Baseball (MLB),, 1869,"New York, NY", Sports & Recreation,,, Unknown / Non-Applicable,201 to 500 employees, Company - Private,www.mlb.com,"https://www.glassdoor.com/Overview/Working-at-Major-League-Baseball-MLB-EI_IE2883.11,36.htm"
205,Hollister Co., Unknown, Unknown,"New Albany, OH", Consumer Products Manufacturing,,, $25 to $50 million (USD) per year,5001 to 10000 employees, Subsidiary or Business Segment,www.hollisterco.com,"https://www.glassdoor.com/Overview/Working-at-Hollister-Co-EI_IE466037.11,23.htm"
206,Stryker,, 1941,"Portage, MI", Health Care Products Manufacturing,,, $10+ billion (USD) per year,10000+ employees, Company - Public (SYK) ,www.stryker.com,"https://www.glassdoor.com/Overview/Working-at-Stryker-EI_IE1918.11,18.htm"
207,Zara, Unknown, 1974,Arteixo (Spain)," Department, Clothing, & Shoe Stores",,, $1 to $2 billion (USD) per year,10000+ employees, Subsidiary or Business Segment,www.zara.com,"https://www.glassdoor.com/Overview/Working-at-Zara-EI_IE17544.11,15.htm"
208,Quest Diagnostics,, 1967,"Secaucus, NJ", Health Care Services & Hospitals,,, $5 to $10 billion (USD) per year,10000+ employees, Company - Public (DGX) ,QuestDiagnostics.com,"https://www.glassdoor.com/Overview/Working-at-Quest-Diagnostics-EI_IE6655.11,28.htm"
209,WeWork,, 2010,"New York, NY", Membership Organizations,,, Unknown / Non-Applicable,10000+ employees, Company - Private,www.wework.com,"https://www.glassdoor.com/Overview/Working-at-WeWork-EI_IE661275.11,17.htm"
210,City of New York, Unknown, 1625,"New York, NY", Municipal Governments,,, Unknown / Non-Applicable per year,10000+ employees, Government,www.nyc.gov,"https://www.glassdoor.com/Overview/Working-at-City-of-New-York-EI_IE43156.11,27.htm"
211,Xerox," IBM, Ricoh", 1906,"Norwalk, CT", IT Services,,, $10+ billion (USD) per year,10000+ employees, Company - Public (XRX) ,www.xerox.com,"https://www.glassdoor.com/Overview/Working-at-Xerox-EI_IE747.11,16.htm"
212,SHI International,, 1989,"Somerset, NJ", Computer Hardware & Software,,, $5 to $10 billion (USD) per year,1001 to 5000 employees, Company - Private,www.shi.com,"https://www.glassdoor.com/Overview/Working-at-SHI-International-EI_IE14216.11,28.htm"
213,Penguin Random House, Unknown, 2013,"Baltimore, MD", Publishing,,, $1 to $2 billion (USD) per year,1001 to 5000 employees, Company - Private,www.penguinrandomhouse.com,"https://www.glassdoor.com/Overview/Working-at-Penguin-Random-House-EI_IE743403.11,31.htm"
214,BJ's Wholesale Club,, 1984,"Westborough, MA", Grocery Stores & Supermarkets,,, $10+ billion (USD) per year,10000+ employees, Company - Public (BJ) ,www.bjs.com,"https://www.glassdoor.com/Overview/Working-at-BJ-s-Wholesale-Club-EI_IE6813.11,30.htm"
215,CIT,, 1908,"New York, NY", Banks & Credit Unions,,, $2 to $5 billion (USD) per year,1001 to 5000 employees, Company - Public (CIT) ,www.cit.com,"https://www.glassdoor.com/Overview/Working-at-CIT-EI_IE6835.11,14.htm"
216,Ross Stores,, 1957,"Dublin, CA"," Department, Clothing, & Shoe Stores",,, $10+ billion (USD) per year,10000+ employees, Company - Public (ROST) ,www.rossstores.com,"https://www.glassdoor.com/Overview/Working-at-Ross-Stores-EI_IE1843.11,22.htm"
217,Crothall Healthcare,, 2001,"Chesterbrook, PA", Catering & Food Service Contractors,,Compass Group USA, $2 to $5 billion (USD) per year,10000+ employees, Subsidiary or Business Segment,www.crothall.com,"https://www.glassdoor.com/Overview/Working-at-Crothall-Healthcare-EI_IE31949.11,30.htm"
218,First Data, Unknown, 1971,"Atlanta, GA", Financial Transaction Processing,,Fiserv, $10+ billion (USD) per year,10000+ employees, Company - Public (FDC) ,www.firstdata.com,"https://www.glassdoor.com/Overview/Working-at-First-Data-EI_IE1787.11,21.htm"
219,iCIMS," ADP, Oracle, Jobvite", 1999,"Holmdel, NJ", Computer Hardware & Software,,, $100 to $500 million (USD) per year,501 to 1000 employees, Company - Private,www.icims.com,"https://www.glassdoor.com/Overview/Working-at-iCIMS-EI_IE34908.11,16.htm"
220,S&P Global,, 1888,"New York, NY", Financial Analytics & Research,,, $5 to $10 billion (USD) per year,10000+ employees, Company - Public (SPGI) ,www.spglobal.com,"https://www.glassdoor.com/Overview/Working-at-S-and-P-Global-EI_IE1259396.11,25.htm"
221,Mercer,, 1945,"New York, NY", Consulting,,Marsh & McLennan Companies, $2 to $5 billion (USD) per year,10000+ employees, Subsidiary or Business Segment,www.mercer.com,"https://www.glassdoor.com/Overview/Working-at-Mercer-EI_IE35818.11,17.htm"
222,Strategic Financial Solutions,, 2007,"New York, NY", Financial Analytics & Research,,, Unknown / Non-Applicable,501 to 1000 employees, Company - Private,www.stratfs.com,"https://www.glassdoor.com/Overview/Working-at-Strategic-Financial-Solutions-EI_IE1027494.11,40.htm"
223,Burlington Stores,, 1972,"Burlington, NJ"," Department, Clothing, & Shoe Stores",,, $5 to $10 billion (USD) per year,10000+ employees, Company - Public (BURL) ,www.burlingtonstores.com,"https://www.glassdoor.com/Overview/Working-at-Burlington-Stores-EI_IE114.11,28.htm"
224,United Airlines,, 1926,"Chicago, IL", Airlines,,, $10+ billion (USD) per year,10000+ employees, Company - Public (UAL) ,www.united.com,"https://www.glassdoor.com/Overview/Working-at-United-Airlines-EI_IE683.11,26.htm"
225,S&P Global Market Intelligence,, 2004,"New York, NY", Investment Banking & Asset Management,,S&P Global, Unknown / Non-Applicable,10000+ employees, Subsidiary or Business Segment,www.spglobal.com/marketintelligence,"https://www.glassdoor.com/Overview/Working-at-S-and-P-Global-Market-Intelligence-EI_IE34323.11,45.htm"
226,Compass, Unknown, 2012,"New York, NY", Enterprise Software & Network Solutions,,, $500 million to $1 billion (USD) per year,1001 to 5000 employees, Company - Private,www.compass.com,"https://www.glassdoor.com/Overview/Working-at-Compass-EI_IE719025.11,18.htm"
227,Fordham University, Unknown, 1841,"Bronx, NY", Colleges & Universities,,, $500 million to $1 billion (USD) per year,1001 to 5000 employees, College / University,www.fordham.edu,"https://www.glassdoor.com/Overview/Working-at-Fordham-University-EI_IE5323.11,29.htm"
228,New York & Company, Unknown, 2002,"New York, NY"," Department, Clothing, & Shoe Stores",,, $500 million to $1 billion (USD) per year,5001 to 10000 employees, Company - Public (NWY) ,www.nyandcompany.com,"https://www.glassdoor.com/Overview/Working-at-New-York-and-Company-EI_IE14594.11,31.htm"
229,Frank Recruitment Group,, 2006,"Newcastle upon Tyne, England (UK)", Staffing & Outsourcing,,, Unknown / Non-Applicable,1001 to 5000 employees, Company - Private,https://careers.frankgroup.com,"https://www.glassdoor.com/Overview/Working-at-Frank-Recruitment-Group-EI_IE1181558.11,34.htm"
230,Pace University, Unknown, 1948,"New York, NY", Colleges & Universities,,, $100 to $500 million (USD) per year,1001 to 5000 employees, College / University,www.pace.edu,"https://www.glassdoor.com/Overview/Working-at-Pace-University-EI_IE5328.11,26.htm"
231,AECOM," Bechtel, ABB, SNC-Lavalin", 1990,"Los Angeles, CA", Architectural & Engineering Services,,, $10+ billion (USD) per year,10000+ employees, Company - Public (ACM) ,www.aecom.com,"https://www.glassdoor.com/Overview/Working-at-AECOM-EI_IE5632.11,16.htm"
232,Spectrum,, 2016,"Stamford, CT"," Cable, Internet & Telephone Providers",,, Unknown / Non-Applicable,Unknown, Subsidiary or Business Segment,jobs.spectrum.com,"https://www.glassdoor.com/Overview/Working-at-Spectrum-EI_IE1500006.11,19.htm"
233,FactSet,, 1978,"Norwalk, CT", Financial Analytics & Research,,, $1 to $2 billion (USD) per year,5001 to 10000 employees, Company - Public (FDS) ,www.factset.com,"https://www.glassdoor.com/Overview/Working-at-FactSet-EI_IE6066.11,18.htm"
234,Dun & Bradstreet,, 1841,Dubai (United Arab Emirates), IT Services,,, $1 to $2 billion (USD) per year,51 to 200 employees, Company - Private,www.dnbsame.com,"https://www.glassdoor.com/Overview/Working-at-Dun-and-Bradstreet-EI_IE213.11,29.htm"
235,Costco Wholesale," Sam's Club, BJ's Wholesale Club", 1976,"Issaquah, WA", General Merchandise & Superstores,,, $10+ billion (USD) per year,10000+ employees, Company - Public (COST) ,www.costco.com,"https://www.glassdoor.com/Overview/Working-at-Costco-Wholesale-EI_IE2590.11,27.htm"
236,Avaya," Cisco Systems, Mitel Networks, RingCentral", 2000,"Santa Clara, CA", Telecommunications Services,,, $2 to $5 billion (USD) per year,5001 to 10000 employees, Company - Public (AVYA) ,www.avaya.com,"https://www.glassdoor.com/Overview/Working-at-Avaya-EI_IE12121.11,16.htm"
237,RB, Unknown, 1823,"Slough, Berkshire, South East England, England (UK)", Consumer Products Manufacturing,,, $10+ billion (USD) per year,10000+ employees, Company - Public (RB) ,www.rb.com,"https://www.glassdoor.com/Overview/Working-at-RB-EI_IE3600.11,13.htm"
238,Guardian Life,, 1860,"New York, NY", Insurance Carriers,,, $5 to $10 billion (USD) per year,5001 to 10000 employees, Company - Private,www.guardianlife.com,"https://www.glassdoor.com/Overview/Working-at-Guardian-Life-EI_IE2810.11,24.htm"
239,SiriusXM, Unknown, 1990,"New York, NY", Radio,,, $2 to $5 billion (USD) per year,1001 to 5000 employees, Company - Public (SIRI) ,www.siriusxm.com,"https://www.glassdoor.com/Overview/Working-at-SiriusXM-EI_IE5128.11,19.htm"
240,Coty," L'Oréal, Estée Lauder Companies, Elizabeth Arden", 1904,"London, England (UK)", Consumer Products Manufacturing,,, $10+ billion (USD) per year,10000+ employees, Company - Public (COTY) ,www.coty.com,"https://www.glassdoor.com/Overview/Working-at-Coty-EI_IE7654.11,15.htm"
241,New School, Unknown, 1919,"New York, NY", Colleges & Universities,,, $100 to $500 million (USD) per year,1001 to 5000 employees, College / University,www.newschool.edu,"https://www.glassdoor.com/Overview/Working-at-New-School-EI_IE26556.11,21.htm"
242,Jefferies, Unknown, 1962,"New York, NY", Investment Banking & Asset Management,,, $2 to $5 billion (USD) per year,1001 to 5000 employees, Company - Public (LN3) ,www.jefferies.com,"https://www.glassdoor.com/Overview/Working-at-Jefferies-EI_IE1546.11,20.htm"
243,YAI - Seeing beyond disability, Unknown, 1957,"New York, NY", Social Assistance,,, $100 to $500 million (USD) per year,5001 to 10000 employees, Nonprofit Organization,www.yai.org,"https://www.glassdoor.com/Overview/Working-at-YAI-Seeing-beyond-disability-EI_IE28937.11,39.htm"
244,Mavis Discount Tire,, 1972,"Millwood, NY", Automotive Parts & Accessories Stores,,, Unknown / Non-Applicable,1001 to 5000 employees, Company - Private,www.mavistire.com,"https://www.glassdoor.com/Overview/Working-at-Mavis-Discount-Tire-EI_IE469811.11,30.htm"
245,NIKE," adidas, Under Armour, lululemon", 1972,"Beaverton, OR", Consumer Products Manufacturing,,, $10+ billion (USD) per year,10000+ employees, Company - Public (NKE) ,jobs.nike.com,"https://www.glassdoor.com/Overview/Working-at-NIKE-EI_IE1699.11,15.htm"
246,BASF,, 1865,"Florham Park, NJ", Chemical Manufacturing,,, $5 to $10 billion (USD) per year,10000+ employees, Company - Public,www.basf.com,"https://www.glassdoor.com/Overview/Working-at-BASF-EI_IE4231.11,15.htm"
247,Medidata Solutions,, 1999,"New York, NY", Enterprise Software & Network Solutions,,, $500 million to $1 billion (USD) per year,1001 to 5000 employees, Company - Public (MDSO) ,https://www.medidata.com/,"https://www.glassdoor.com/Overview/Working-at-Medidata-Solutions-EI_IE16679.11,29.htm"
248,New York Police Department, Unknown, 1845,"New York, NY", Municipal Governments,,, $5 to $10 billion (USD) per year,10000+ employees, Government,www.nyc.gov/html/nypd/html/home/home.shtml,"https://www.glassdoor.com/Overview/Working-at-New-York-Police-Department-EI_IE106980.11,37.htm"
249,Federal Reserve Bank (NY), Unknown, 1914,"New York, NY", Financial Analytics & Research,,, $10+ billion (USD) per year,1001 to 5000 employees, Company - Private,www.newyorkfed.org,"https://www.glassdoor.com/Overview/Working-at-Federal-Reserve-Bank-NY-EI_IE5421.11,34.htm"
250,Port Authority of New York and New Jersey, Unknown, 1921,"New York, NY", Transportation Management,,, $2 to $5 billion (USD) per year,5001 to 10000 employees, Government,www.jointheportauthority.com,"https://www.glassdoor.com/Overview/Working-at-Port-Authority-of-New-York-and-New-Jersey-EI_IE3680.11,52.htm"
251,WebMD Health, Unknown, 2005,"New York, NY", Internet,,, $500 million to $1 billion (USD) per year,1001 to 5000 employees, Company - Public (WBMD) ,www.webmd.com,"https://www.glassdoor.com/Overview/Working-at-WebMD-Health-EI_IE38258.11,23.htm"
252,RadioShack," Best Buy, Walmart", 1921,"Fort Worth, TX", Consumer Electronics & Appliances Stores,,, Unknown / Non-Applicable,5001 to 10000 employees, Company - Private,www.radioshack.com,"https://www.glassdoor.com/Overview/Working-at-RadioShack-EI_IE641.11,21.htm"
253,FreshDirect," Peapod, Instacart, Jet", 1999,"Long Island City, NY", Logistics & Supply Chain,,, $100 to $500 million (USD) per year,1001 to 5000 employees, Company - Private,www.freshdirect.com,"https://www.glassdoor.com/Overview/Working-at-FreshDirect-EI_IE15793.11,22.htm"
254,Express," Gap, The Limited, Guess?", 1980,"Columbus, OH"," Department, Clothing, & Shoe Stores",,, $2 to $5 billion (USD) per year,10000+ employees, Company - Public (EXPR) ,www.express.com,"https://www.glassdoor.com/Overview/Working-at-Express-EI_IE14597.11,18.htm"
255,Publicis," Interpublic Group, Omnicom, WPP", 1926,Paris (France), Advertising & Marketing,,, $5 to $10 billion (USD) per year,10000+ employees, Company - Public (PUB) ,www.publicisgroupe.com,"https://www.glassdoor.com/Overview/Working-at-Publicis-EI_IE5844.11,19.htm"
