,Company,Competitors,Founded,Headquarters,Industry,Now known as,Part of,Revenue,Size,Type,Website,Link
481,Saatchi & Saatchi Group, Unknown, Unknown,"London, England (UK)", Unknown,,, $50 to $100 million (USD) per year,501 to 1000 employees, Contract,www.saatchi.com,"https://www.glassdoor.com/Overview/Working-at-Saatchi-and-Saatchi-Group-EI_IE1466850.11,36.htm"
482,CareOne,, 1999,"Fort Lee, NJ", Health Care Services & Hospitals,,, Unknown / Non-Applicable,10000+ employees, Company - Private,www.care-one.com,"https://www.glassdoor.com/Overview/Working-at-CareOne-EI_IE243694.11,18.htm"
483,Robert Wood Johnson University Hospital, Unknown, 1884,"New Brunswick, NJ", Health Care Services & Hospitals,,RWJBarnabas Health, $1 to $2 billion (USD) per year,1001 to 5000 employees, Nonprofit Organization,www.rwjuh.edu,"https://www.glassdoor.com/Overview/Working-at-Robert-Wood-Johnson-University-Hospital-EI_IE20191.11,50.htm"
484,NYC Department of Human Resource Administration, Unknown, Unknown,"New York, NY", Federal Agencies,,, Unknown / Non-Applicable per year,201 to 500 employees, Government,www.nyc.gov/hra,"https://www.glassdoor.com/Overview/Working-at-NYC-Department-of-Human-Resource-Administration-EI_IE245633.11,58.htm"
485,Subway," McDonald's, Quiznos, Yum!", Unknown,"Milford, CT", Fast-Food & Quick-Service Restaurants,,, $50 to $100 million (USD) per year,5001 to 10000 employees, Company - Private,www.subway.com,"https://www.glassdoor.com/Overview/Working-at-Subway-EI_IE2994.11,17.htm"
486,DICK'S Sporting Goods,, 1948,"Coraopolis, PA", Sporting Goods Stores,,, $5 to $10 billion (USD) per year,10000+ employees, Company - Public (DKS) ,www.dickssportinggoods.jobs,"https://www.glassdoor.com/Overview/Working-at-DICK-S-Sporting-Goods-EI_IE8666.11,32.htm"
487,American Airlines,, 1926,"Fort Worth, TX", Airlines,,, $10+ billion (USD) per year,10000+ employees, Company - Public (AAL) ,jobs.aa.com,"https://www.glassdoor.com/Overview/Working-at-American-Airlines-EI_IE8.11,28.htm"
488,EXL Service, Unknown, 1999,"New York, NY", Consulting,,, $500 million to $1 billion (USD) per year,10000+ employees, Company - Public (EXLS) ,www.exlservice.com,"https://www.glassdoor.com/Overview/Working-at-EXL-Service-EI_IE37901.11,22.htm"
489,Allergan,, 1948,"Dublin, Co. Dublin (Ireland)", Biotech & Pharmaceuticals,,, $10+ billion (USD) per year,10000+ employees, Company - Public (AGN) ,www.allergan.com,"https://www.glassdoor.com/Overview/Working-at-Allergan-EI_IE27.11,19.htm"
490,NBA, Unknown, 1946,"New York, NY", Sports & Recreation,,, Unknown / Non-Applicable per year,1001 to 5000 employees, Company - Private,www.nba.com,"https://www.glassdoor.com/Overview/Working-at-NBA-EI_IE2908.11,14.htm"
491,Simon & Schuster, Unknown, 1924,"New York, NY", Publishing,,, $500 million to $1 billion (USD) per year,1001 to 5000 employees, Subsidiary or Business Segment,www.simonandschuster.com,"https://www.glassdoor.com/Overview/Working-at-Simon-and-Schuster-EI_IE4148.11,29.htm"
492,AHRC New York City, Unknown, Unknown,"New York, NY", Social Assistance,,, $10 to $25 million (USD) per year,201 to 500 employees, Nonprofit Organization,www.ahrcnyc.org,"https://www.glassdoor.com/Overview/Working-at-AHRC-New-York-City-EI_IE456300.11,29.htm"
493,SAP,, 1972,"Walldorf, Baden-Württemberg (Germany)", Computer Hardware & Software,,, $10+ billion (USD) per year,10000+ employees, Company - Public (SAP) ,www.sap.com/careers,https://www.glassdoor.com/sap
494,IKEA,, 1943,"Conshohocken, PA", Home Furniture & Housewares Stores,,, Unknown / Non-Applicable,10000+ employees, Company - Private,www.seeacareerwithus.com,"https://www.glassdoor.com/Overview/Working-at-IKEA-EI_IE3957.11,15.htm"
495,GNC, Unknown, 1935,"Pittsburgh, PA", Drug & Health Stores,,, $2 to $5 billion (USD) per year,10000+ employees, Company - Public (GNC) ,www.gnc.com,"https://www.glassdoor.com/Overview/Working-at-GNC-EI_IE2270.11,14.htm"
496,Huntington Learning Centers,, 1977,"Oradell, NJ", Education Training Services,,, Unknown / Non-Applicable,1001 to 5000 employees, Company - Private,www.huntingtonhelps.com,"https://www.glassdoor.com/Overview/Working-at-Huntington-Learning-Centers-EI_IE7937.11,38.htm"
497,Bluewolf," Accenture, Deloitte", 1999,"New York, NY", IT Services,,IBM, Unknown / Non-Applicable,501 to 1000 employees, Company - Private,www.bluewolf.com,"https://www.glassdoor.com/Overview/Working-at-Bluewolf-EI_IE158481.11,19.htm"
